longitud de onda,T%  SM1,T% SM2,,
356.82851,50.735,47.925,3.5682851,0.01
353.1988,52.398,51.198,3.531988,
349.6422,54.175,53.825,3.496422,
346.15251,54.603,55.238,3.4615251,
342.73572,57.19,56.7,3.4273572,
339.38571,60.399,59.643,3.3938571,
336.10056,61.871,61.502,3.3610056,
332.8784,64.103,63.68,3.328784,
329.71381,67.39,66.574,3.2971381,
326.61238,69.075,68.086,3.2661238,
323.56875,69.055,67.952,3.2356875,
320.58132,67.151,65.909,3.2058132,
317.64855,63.504,62.09,3.1764855,
314.76566,58.507,56.915,3.1476566,
311.93786,52.798,51.04,3.1193786,
309.16042,47.09,45.187,3.0916042,
306.43201,41.855,39.827,3.0643201,
303.75133,37.344,35.209,3.0375133,
301.11412,33.643,31.414,3.0111412,
298.53717,30.754,28.441,2.9853717,
295.97474,28.576,26.187,2.9597474,
293.48464,26.96,24.505,2.9348464,
291.00786,25.775,23.263,2.9100786,
288.60029,24.907,22.351,2.8860029,
286.23223,24.485,21.915,2.8623223,
283.87585,24.262,21.693,2.8387585,
281.58438,24.04,21.472,2.8158438,
279.3036,23.826,21.258,2.793036,
277.08507,23.622,21.054,2.7708507,
274.87631,23.42,20.851,2.7487631,
272.72727,23.219,20.65,2.7272727,
